Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status,Id,complete_g,complete_1,complete_2,complete_3,complete_4
327863,Influenza - Avian,";H5N1 HPAI;",53.646285,40.28626,Turovo,Russian Federation,Europe,2022/06/07 00:00:00+00,2022/07/28 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,3,0,1,0,0,0
327862,Influenza - Avian,";H5N1 HPAI;",53.646285,40.28626,Turovo,Russian Federation,Europe,2022/06/07 00:00:00+00,2022/07/28 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,3,0,1,0,0,0
324704,Influenza - Avian,";H5N1 HPAI;",53.646285,40.28626,Turovo,Russian Federation,Europe,2022/06/07 00:00:00+00,2022/06/15 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,3,0,1,0,0,0
330601,Influenza - Avian,";H5N1 HPAI;",52.67,7.79,Menslage,Germany,Europe,2022/08/29 00:00:00+00,2022/09/05 00:00:00+00,"Domestic,Turkey,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
319022,Influenza - Avian,";H5N1 HPAI;",52.206,8.04,Georgsmarienhütte,Germany,Europe,2022/03/02 00:00:00+00,2022/04/07 00:00:00+00,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
330600,Influenza - Avian,";H5N1 HPAI;",52.68,8.12,Dinklage,Germany,Europe,2022/09/02 00:00:00+00,2022/09/05 00:00:00+00,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
329891,Influenza - Avian,";H5N1 HPAI;",52.61,8.1,Dinklage,Germany,Europe,2022/08/21 00:00:00+00,2022/08/25 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
319040,Influenza - Avian,";H5N1 HPAI;",52.361,8.376,Bad Essen,Germany,Europe,2022/04/01 00:00:00+00,2022/04/07 00:00:00+00,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
329222,Influenza - Avian,";H5N1 HPAI;",52.52,8.431,Hüde,Germany,Europe,2022/07/26 00:00:00+00,2022/08/12 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
328050,Influenza - Avian,";H5N1 HPAI;",52.52,8.431,Hüde,Germany,Europe,2022/07/26 00:00:00+00,2022/07/29 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
329221,Influenza - Avian,";H5N1 HPAI;",52.61,8.1,Dinklage,Germany,Europe,2022/08/10 00:00:00+00,2022/08/12 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
319031,Influenza - Avian,";H5N1 HPAI;",52.206,8.04,Georgsmarienhütte,Germany,Europe,2022/03/04 00:00:00+00,2022/04/07 00:00:00+00,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
335487,Influenza - Avian,";H5N1 HPAI;",52.33,8.103,Belm,Germany,Europe,2022/10/28 00:00:00+00,2022/11/15 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
319038,Influenza - Avian,";H5N1 HPAI;",52.236,8.176,Bissendorf,Germany,Europe,2022/03/30 00:00:00+00,2022/04/07 00:00:00+00,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
319034,Influenza - Avian,";H5N1 HPAI;",52.357,8.309,Bohmte,Germany,Europe,2022/03/08 00:00:00+00,2022/04/07 00:00:00+00,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
326945,Influenza - Avian,";H5N1 HPAI;",52.475,8.353,Marl,Germany,Europe,2022/06/29 00:00:00+00,2022/07/15 00:00:00+00,"Wild,Ciconiidae (unidentified):Ciconiidae(incognita)(Ciconiidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
319025,Influenza - Avian,";H5N1 HPAI;",52.558,7.947,Bersenbrück,Germany,Europe,2022/03/17 00:00:00+00,2022/04/07 00:00:00+00,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
334595,Influenza - Avian,";H5N1 HPAI;",51.84,8.54,Verl,Germany,Europe,2022/10/19 00:00:00+00,2022/11/04 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
334594,Influenza - Avian,";H5N1 HPAI;",51.84,8.52,Verl,Germany,Europe,2022/10/24 00:00:00+00,2022/11/04 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
336799,Influenza - Avian,";H5N1 HPAI;",51.96,8.49,Bielefeld,Germany,Europe,2022/11/29 00:00:00+00,2022/12/02 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
333636,Influenza - Avian,";H5N1 HPAI;",51.84,8.46,Rietberg,Germany,Europe,2022/10/14 00:00:00+00,2022/10/18 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
334596,Influenza - Avian,";H5N1 HPAI;",51.88,8.56,Verl,Germany,Europe,2022/10/17 00:00:00+00,2022/11/04 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
336383,Influenza - Avian,";H5N1 HPAI;",52.02,7.87,Ostbevern,Germany,Europe,2022/11/24 00:00:00+00,2022/11/28 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
332983,Influenza - Avian,";H5N1 HPAI;",70.23797,22.35639,Øksfjord,Norway,Europe,2022/09/27 00:00:00+00,2022/10/07 00:00:00+00,"Wild,Great Black-backed Gull (Larus marinus),",WOAH (former OIE),,,Confirmed,97,0,1,0,0,0
326255,Influenza - Avian,";H5N5 HPAI;",70.62,22.39,Breivikbotn,Norway,Europe,2022/06/08 00:00:00+00,2022/07/07 00:00:00+00,"Wild,White tailed eagle (Haliaeetus albicilla),",WOAH (former OIE),,,Confirmed,97,0,1,0,0,0
347188,Influenza - Avian,";H5N1 HPAI;",70.23797,22.35639,Ã˜ksfjord kai,Norway,Europe,2022/09/27 00:00:00+00,2023/02/24 00:00:00+00,"Wild,Great Black-backed Gull (Larus marinus),",WOAH (former OIE),,,Confirmed,97,0,1,0,0,0
311026,Influenza - Avian,";H5N1 HPAI;",53.335941,18.340128,Chrystkowo     ,Poland,Europe,2022/01/10 00:00:00+00,2022/01/12 00:00:00+00,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed,140,0,1,0,0,0
337079,Influenza - Avian,";H5N1 HPAI;",53.411174,18.428914, wiecie,Poland,Europe,2022/12/01 00:00:00+00,2022/12/09 00:00:00+00,"Wild,Mute Swan:Cygnus olor(Anatidae),",WOAH (former OIE),,,Confirmed,140,0,1,0,0,0
314071,Influenza - Avian,";H5N1 HPAI;",52.796066,18.359344,Marcinkowo     ,Poland,Europe,2022/02/05 00:00:00+00,2022/02/17 00:00:00+00,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed,140,0,1,0,0,0
336807,Influenza - Avian,";H5N1 HPAI;",53.411174,18.428914, wiecie,Poland,Europe,2022/12/01 00:00:00+00,2022/12/05 00:00:00+00,"Wild,Mute Swan:Cygnus olor(Anatidae),",WOAH (former OIE),,,Confirmed,140,0,1,0,0,0
328133,Influenza - Avian,";H5N1 HPAI;",49.33986,-0.754467,PORT-EN-BESSIN-HUPPAIN,France,Europe,2022/07/01 00:00:00+00,2022/08/01 00:00:00+00,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),,,Confirmed,161,0,1,0,0,0
328127,Influenza - Avian,";H5N1 HPAI;",49.366425,-0.86939,saint-laurent-sur-mer,France,Europe,2022/07/10 00:00:00+00,2022/08/01 00:00:00+00,"Wild,Northern Gannet:Morus bassanus(Sulidae),",WOAH (former OIE),,,Confirmed,161,0,1,0,0,0
327625,Influenza - Avian,";H5N1 HPAI;",49.20575,-0.35719,herouville-saint-clair,France,Europe,2022/07/01 00:00:00+00,2022/07/22 00:00:00+00,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),,,Confirmed,161,0,1,0,0,0
327095,Influenza - Avian,";H5N1 HPAI;",49.37901,-0.90218,vierville-sur-mer,France,Europe,2022/06/22 00:00:00+00,2022/07/15 00:00:00+00,"Wild,Northern Gannet:Morus bassanus(Sulidae),",WOAH (former OIE),,,Confirmed,161,0,1,0,0,0
328136,Influenza - Avian,";H5N1 HPAI;",49.298047,-0.37657,douvres-la-delivrande,France,Europe,2022/06/18 00:00:00+00,2022/08/01 00:00:00+00,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),,,Confirmed,161,0,1,0,0,0
328121,Influenza - Avian,";H5N1 HPAI;",49.325,-0.3686,langrune-sur-mer,France,Europe,2022/06/20 00:00:00+00,2022/08/01 00:00:00+00,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),,,Confirmed,161,0,1,0,0,0
327096,Influenza - Avian,";H5N1 HPAI;",49.205724,-0.35738,CAEN,France,Europe,2022/06/20 00:00:00+00,2022/07/15 00:00:00+00,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),,,Confirmed,161,0,1,0,0,0
328134,Influenza - Avian,";H5N1 HPAI;",49.32631,-0.398404,saint-aubin-sur-mer,France,Europe,2022/06/18 00:00:00+00,2022/08/01 00:00:00+00,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),,,Confirmed,161,0,1,0,0,0
316009,Influenza - Avian,";H5N1 HPAI;",55.8316,10.6332,Ballen,Denmark,Europe,2022/02/14 00:00:00+00,2022/03/17 00:00:00+00,"Wild,Buzzard,",WOAH (former OIE),,,Confirmed,208,0,1,1,1,1
316010,Influenza - Avian,";H5N1 HPAI;",55.7265,11.0826,Vollerup,Denmark,Europe,2022/02/13 00:00:00+00,2022/03/17 00:00:00+00,"Wild,Buzzard,",WOAH (former OIE),,,Confirmed,208,0,1,1,1,1
324711,Influenza - Avian,";H5N1 HPAI;",55.595479,11.244942,Store Fuglede,Denmark,Europe,2022/04/09 00:00:00+00,2022/06/14 00:00:00+00,"Wild,Barnacle Goose:Branta leucopsis(Anatidae),",WOAH (former OIE),,,Confirmed,208,0,1,1,1,1
324706,Influenza - Avian,";H5N1 HPAI;",55.608424,11.211687,Ubby,Denmark,Europe,2022/03/27 00:00:00+00,2022/06/14 00:00:00+00,"Wild,Crow,",WOAH (former OIE),,,Confirmed,208,0,1,1,1,1
316015,Influenza - Avian,";H5N1 HPAI;",55.5008,11.2667,Høng,Denmark,Europe,2022/02/21 00:00:00+00,2022/03/17 00:00:00+00,"Wild,Buzzard,",WOAH (former OIE),,,Confirmed,208,0,1,1,1,1
314524,Influenza - Avian,";H5N1 HPAI;",51.789,11.604,Güsten,Germany,Europe,2022/02/23 00:00:00+00,2022/02/28 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,352,0,1,0,0,1
323596,Influenza - Avian,";H5N1 HPAI;",56.44,-3.74,Buchanty,U.K. of Great Britain and Northern Ireland,Europe,2022/04/05 00:00:00+00,2022/05/27 00:00:00+00,"Wild,Accipitridae (incognita),",WOAH (former OIE),,,Confirmed,353,0,1,0,0,0
312377,Influenza - Avian,";H5N1 HPAI;",56.54,-3.47,Murthly,U.K. of Great Britain and Northern Ireland,Europe,2022/01/18 00:00:00+00,2022/01/28 00:00:00+00,"Wild,Buzzard,",WOAH (former OIE),,,Confirmed,353,0,1,0,0,0
314183,Influenza - Avian,";H5N1 HPAI;",56.57,-3.15,Meigle,U.K. of Great Britain and Northern Ireland,Europe,2022/02/04 00:00:00+00,2022/02/18 00:00:00+00,"Wild,Thrush (Turdidae),",WOAH (former OIE),,,Confirmed,353,0,1,0,0,0
319227,Influenza - Avian,";H5N1 HPAI;",56.31,-3.7,Auchterarder,U.K. of Great Britain and Northern Ireland,Europe,2022/01/04 00:00:00+00,2022/04/08 00:00:00+00,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,353,0,1,0,0,0
323948,Influenza - Avian,";H5N1 HPAI;",65.95,12.25,Sør-Herøy,Norway,Europe,2022/05/03 00:00:00+00,2022/06/03 00:00:00+00,"Wild,White tailed eagle (Haliaeetus albicilla),",WOAH (former OIE),,,Confirmed,425,0,1,0,0,0
323926,Influenza - Avian,";H5N1 HPAI;",65.97,12.25,Sør-Herøy,Norway,Europe,2022/05/03 00:00:00+00,2022/06/03 00:00:00+00,"Wild,Accipitridae (incognita),",WOAH (former OIE),,,Confirmed,425,0,1,0,0,0
329965,Influenza - Avian,";H5N1 HPAI;",45.896462,-1.289972,DOLUS-D'OLERON,France,Europe,2022/08/23 00:00:00+00,2022/08/26 00:00:00+00,"Wild,Northern Gannet:Morus bassanus(Sulidae),",WOAH (former OIE),,,Confirmed,591,0,1,0,0,0
313521,Influenza - Avian,";H5N1 HPAI;",41.3517,-4.5334,Íscar,Spain,Europe,2022/02/07 00:00:00+00,2022/02/15 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,704,0,1,0,0,0
312697,Influenza - Avian,";H5N1 HPAI;",41.3071,-3.9355,Fuenterrebollo,Spain,Europe,2022/01/13 00:00:00+00,2022/02/03 00:00:00+00,"Domestic,Turkey,",WOAH (former OIE),,,Confirmed,704,0,1,0,0,0
313196,Influenza - Avian,";H5N1 HPAI;",41.3517,-4.5334,Íscar,Spain,Europe,2022/02/07 00:00:00+00,2022/02/10 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,704,0,1,0,0,0
314292,Influenza - Avian,";H5N1 HPAI;",41.3459,-4.532,Íscar,Spain,Europe,2022/02/16 00:00:00+00,2022/02/22 00:00:00+00,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed,704,0,1,0,0,0
314298,Influenza - Avian,";H5N1 HPAI;",41.3517,-4.5334,Íscar,Spain,Europe,2022/02/07 00:00:00+00,2022/02/22 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,704,0,1,0,0,0
311757,Influenza - Avian,";H5N1 HPAI;",41.3071,-3.9355,Fuenterrebollo,Spain,Europe,2022/01/13 00:00:00+00,2022/01/18 00:00:00+00,"Domestic,Turkey,",WOAH (former OIE),,,Confirmed,704,0,1,0,0,0
338611,Influenza - Avian,";H5N1 HPAI;",41.581121,-4.655176,Cistérniga,Spain,Europe,2022/12/14 00:00:00+00,2022/12/22 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,704,0,1,0,0,0
319394,Influenza - Avian,";H5N1 HPAI;",41.6248,-4.7417,Valladolid,Spain,Europe,2022/03/30 00:00:00+00,2022/04/11 00:00:00+00,"Wild,Greylag Goose:Anser anser(Anatidae),",WOAH (former OIE),,,Confirmed,704,0,1,0,0,0
333995,Influenza - Avian,";H5N1 HPAI;",40.633711,-3.167394,Guadalajara,Spain,Europe,2022/09/27 00:00:00+00,2022/10/11 00:00:00+00,,WHO,true,,Confirmed,756,0,1,0,0,0
331303,Influenza - Avian,";H5N1 HPAI;",40.728,-3.132,Fontanar,Spain,Europe,2022/09/08 00:00:00+00,2022/09/12 00:00:00+00,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed,756,0,1,0,0,0
329610,Influenza - Avian,";H5N1 HPAI;",40.469,-3.461,Torrejón de Ardoz,Spain,Europe,2022/08/10 00:00:00+00,2022/08/22 00:00:00+00,"Wild,Mallard:Anas platyrhynchos(Anatidae),",WOAH (former OIE),,,Confirmed,756,0,1,0,0,0
330606,Influenza - Avian,";H5N1 HPAI;",40.464,-3.698,Madrid,Spain,Europe,2022/08/22 00:00:00+00,2022/09/01 00:00:00+00,"Wild,Little Grebe:Tachybaptus ruficollis(Podicipedidae),Wild,Mute Swan:Cygnus olor(Anatidae),Wild,Greylag Goose:Anser anser(Anatidae),",WOAH (former OIE),,,Confirmed,756,0,1,0,0,0
